王舜	04173001	1	45	56	78	98	52	32
李万彬	04173002	1	78	15	54	62	78	65
李梦玥	04173003	1	79	19	85	69	23	45
钟鑫	04173004	1	84	89	56	23	45	56
马绍博	04173005	1	23	45	78	89	56	23
兰超	04173006	1	45	78	56	23	45	14
马铭骏	04173007	1	85	33	45	78	43	45
赵信	04173008	1	85	32	45	62	32	45
李白	04173009	1	78	89	95	63	78	78
杜甫	04173010	1	45	56	78	89	23	45
辛弃疾	04173011	1	38	93	14	45	88	66
李清照	04173012	1	98	56	45	36	53	30
元稹	04173013	1	85	36	21	34	86	28
周邦彦	04173014	1	78	89	63	24	59	79
苏轼	04173015	1	45	78	96	35	78	54
陆游	04173016	1	49	78	78	60	16	65
孟郊	04173017	1	49	86	32	64	86	86
韩愈	04173018	1	0	59	38	16	78	89
柳宗元	04173019	1	85	93	46	84	93	45
欧阳修	04173020	1	96	45	78	35	64	21
曾巩	04173021	1	32	0	0	19	98	56
孟尝君	04173022	1	85	93	16	77	63	78
平原君	04173023	1	23	85	96	94	78	96
春申君	04173024	1	32	45	67	74	51	46
鲍照	04173025	1	23	45	78	97	65	76
信陵君	04173026	1	84	96	31	84	85	52
刘禹锡	04173027	1	64	53	78	12	23	54
山巨源	04173028	1	98	46	23	45	78	32
杜牧	04173029	1	0	87	0	61	0	12
崔颢	04173030	1	45	56	78	15	56	78
